Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/career-chatbot,35,35,1,1.3445977714127366,0.8831059999465651,2.1431229999961943,0.0,1.2076477994457842,1.2076477994457842,1,1,2,2,2,2,2,2,2,2,2
POST,/api/extract-cv,69,69,1,1.2986638115782387,0.8719529998870712,2.7039399999466696,0.0,2.38079137605026,2.38079137605026,1,1,1,1,2,2,2,3,3,3,3
POST,/api/gap-score,84,84,1,1.1930937142968407,0.8368889998564555,2.3232759999700647,0.0,2.898354718669882,2.898354718669882,1,1,1,1,2,2,2,2,2,2,2
GET,/api/skill-trends?label=RISING&limit=20,34,34,1,1.507593088222968,0.8382549999623734,8.547571999997672,0.0,1.173143576604476,1.173143576604476,1,1,1,1,2,3,9,9,9,9,9
,Aggregated,222,222,1,1.2979583873822513,0.8368889998564555,8.547571999997672,0.0,7.659937470770402,7.659937470770402,1,1,1,1,2,2,2,3,9,9,9
